 1.00000000e+00 -1.28486113e+02  1.00000000e+00 -1.34503328e+00 
 1.02329299e+00 -1.28486000e+02  1.02329299e+00 -1.37635121e+00 
 1.04712855e+00 -1.28485882e+02  1.04712855e+00 -1.40839778e+00 
 1.07151931e+00 -1.28485759e+02  1.07151931e+00 -1.44118990e+00 
 1.09647820e+00 -1.28485629e+02  1.09647820e+00 -1.47474487e+00 
 1.12201845e+00 -1.28485494e+02  1.12201845e+00 -1.50908039e+00 
 1.14815362e+00 -1.28485352e+02  1.14815362e+00 -1.54421456e+00 
 1.17489755e+00 -1.28485203e+02  1.17489755e+00 -1.58016591e+00 
 1.20226443e+00 -1.28485047e+02  1.20226443e+00 -1.61695339e+00 
 1.23026877e+00 -1.28484884e+02  1.23026877e+00 -1.65459637e+00 
 1.25892541e+00 -1.28484714e+02  1.25892541e+00 -1.69311469e+00 
 1.28824955e+00 -1.28484535e+02  1.28824955e+00 -1.73252864e+00 
 1.31825674e+00 -1.28484348e+02  1.31825674e+00 -1.77285896e+00 
 1.34896288e+00 -1.28484152e+02  1.34896288e+00 -1.81412687e+00 
 1.38038426e+00 -1.28483947e+02  1.38038426e+00 -1.85635408e+00 
 1.41253754e+00 -1.28483732e+02  1.41253754e+00 -1.89956280e+00 
 1.44543977e+00 -1.28483507e+02  1.44543977e+00 -1.94377575e+00 
 1.47910839e+00 -1.28483272e+02  1.47910839e+00 -1.98901615e+00 
 1.51356125e+00 -1.28483025e+02  1.51356125e+00 -2.03530776e+00 
 1.54881662e+00 -1.28482767e+02  1.54881662e+00 -2.08267490e+00 
 1.58489319e+00 -1.28482497e+02  1.58489319e+00 -2.13114240e+00 
 1.62181010e+00 -1.28482214e+02  1.62181010e+00 -2.18073570e+00 
 1.65958691e+00 -1.28481917e+02  1.65958691e+00 -2.23148080e+00 
 1.69824365e+00 -1.28481607e+02  1.69824365e+00 -2.28340427e+00 
 1.73780083e+00 -1.28481282e+02  1.73780083e+00 -2.33653331e+00 
 1.77827941e+00 -1.28480942e+02  1.77827941e+00 -2.39089572e+00 
 1.81970086e+00 -1.28480586e+02  1.81970086e+00 -2.44651994e+00 
 1.86208714e+00 -1.28480213e+02  1.86208714e+00 -2.50343503e+00 
 1.90546072e+00 -1.28479823e+02  1.90546072e+00 -2.56167072e+00 
 1.94984460e+00 -1.28479414e+02  1.94984460e+00 -2.62125742e+00 
 1.99526231e+00 -1.28478986e+02  1.99526231e+00 -2.68222620e+00 
 2.04173794e+00 -1.28478537e+02  2.04173794e+00 -2.74460883e+00 
 2.08929613e+00 -1.28478068e+02  2.08929613e+00 -2.80843779e+00 
 2.13796209e+00 -1.28477577e+02  2.13796209e+00 -2.87374630e+00 
 2.18776162e+00 -1.28477062e+02  2.18776162e+00 -2.94056830e+00 
 2.23872114e+00 -1.28476524e+02  2.23872114e+00 -3.00893850e+00 
 2.29086765e+00 -1.28475960e+02  2.29086765e+00 -3.07889236e+00 
 2.34422882e+00 -1.28475369e+02  2.34422882e+00 -3.15046615e+00 
 2.39883292e+00 -1.28474751e+02  2.39883292e+00 -3.22369691e+00 
 2.45470892e+00 -1.28474104e+02  2.45470892e+00 -3.29862253e+00 
 2.51188643e+00 -1.28473426e+02  2.51188643e+00 -3.37528169e+00 
 2.57039578e+00 -1.28472717e+02  2.57039578e+00 -3.45371395e+00 
 2.63026799e+00 -1.28471974e+02  2.63026799e+00 -3.53395972e+00 
 2.69153480e+00 -1.28471197e+02  2.69153480e+00 -3.61606028e+00 
